Block,DesignatorHint,PreferredPart,AlternativePart,Package,Value,VoltageCurrentRating,JLCPCBStatus,LCSCStatus,Reason,Risk,FootprintTodo,DatasheetUrl,Notes
MCU / BLE module,U1,ESP32-S3-WROOM-1-N16R8,ESP32-S3-MINI-1-N4R2,"SMD module; preferred 18.0x25.5x3.1 mm; fallback 15.4x20.5x2.4 mm",16 MB flash + 8 MB PSRAM preferred,3.0-3.6 V; size rail for radio/display transients,Extended; assembly orientation and antenna overhang TODO: VERIFY,"Preferred C2913202 stock 21608; fallback C3013941 stock 5196; observed 2026-06-12",Memory headroom and official variant listing,"WROOM height/keepout may not fit; MINI fallback loses memory","Create from exact Espressif land pattern; copy keepout; review straps and pin 1",https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,"TODO: VERIFY Japan radio certification applicability; MINI-1-N8R8 is not listed in the official MINI datasheet"
Display panel,DS1,ER-TFT020-3,Drawing-verified 2.0 inch 240x320 ST7789 SPI panel,Off-board panel with 14-pin 0.5 mm FPC,240x320 IPS ST7789 4-wire SPI,2.8 V typical panel supply; backlight TBD,Manual assembly after PCBA,Not an LCSC SMT item,Concrete public panel target with drawing and sample path,"FPC pinout/backlight/lifecycle substitution can force respin","Do not release footprint until ordered drawing and sample agree",https://www.buydisplay.com/2-inch-240x320-ips-tft-lcd-display-with-connector-fpc,"34.6x47.8x2.0 mm supplier listing; TODO: VERIFY all dimensions and pinout"
Display connector,J1,FH12-14S-0.5SH(55),Exact drawing-compatible alternate,"14-position 0.5 mm horizontal ZIF",14 pin,0.5 A family rating; 50 V family rating,Extended; connector assembly support TODO: VERIFY,C5378715 stock 689 observed 2026-06-12,Matches supplier-listed connector count and pitch,"Contact side and mated height are blocking risks","Verify top/bottom contact; FPC thickness; insertion direction; courtyard",https://www.hirose.com/product/series/FH12,"TODO: VERIFY exact product drawing and display compatibility"
Dynamic NFC tag,U2,ST25DV04KC-IE6S3,NT3H2111W0FHKH,"SO8N preferred; XQFN8 fallback",4 Kbit dynamic NFC tag preferred,3.3 V I2C plan; exact VCC/GPO/energy-harvest rules per datasheet,Extended,"Preferred C3304276 stock 18587; fallback C710403 stock 7510; observed 2026-06-12",Prototype-friendly preferred package and documented dynamic tag path,"Fallback changes package antenna network and firmware","Verify ST order suffix/pinout; create separate fallback symbol/footprint",https://www.st.com/resource/en/datasheet/st25dv04kc.pdf,"Dynamic tag only; no NFC reader IC"
NFC antenna / matching,L1/CNFCx/RTUNEx,PCB perimeter loop plus DNP 0402 C0G tuning network,0603 tuning network for hand rework,"PCB copper and 0402 preferred",TBD after measured inductance and Q,13.56 MHz resonant network; values not frozen,PCB feature plus generic passives,"Example 10 pF C32949 basic; exact values TODO: VERIFY",Allows prototype tuning without pretending simulation is sufficient,"Battery/display/USB/case detuning and wrong capacitor values","Reserve two-series/two-shunt positions; 0 ohm links; VNA pads; keepout",https://www.st.com/en/nfc/st25-nfc-rfid-tags-readers.html,"Initial capacitors may be DNP; measure assembled unit"
External SPI NOR,U3,W25Q128JVSIQ,GD25Q128 family or DNP,SOIC-8 208 mil,128 Mbit / 16 MB,3.3 V-class SPI NOR; exact limits per datasheet,Basic listing observed,"C97521 basic stock 110435 observed 2026-06-12",Optional local asset capacity with easy rework,"Secondary flash may be unnecessary and SOIC is not the thinnest","Verify exact pinout width HOLD/WP use and fallback compatibility",https://www.winbond.com/hq/product/code-storage-flash-memory/serial-nor-flash/,"DNP unless firmware/storage budget justifies population"
USB-C connector,J2,USB4105-GF-A,TYPE-C-31-M-12,"16-contact horizontal SMT receptacle with TH shell stakes",USB 2.0 device/sink only,"5 V VBUS; independent 5.1 kOhm Rd on CC1/CC2; no PD",Extended,"Preferred C3020560 stock 295; fallback C165948 stock 336394; observed 2026-06-12",Documented manufacturer connector preferred with high-stock fallback,"Preferred low stock; mechanically similar connectors are not footprint-compatible","Verify suffix stake length shell profile board-edge datum and fallback drawing",https://gct.co/connector/usb4105,"Route D+/D- only; TODO: VERIFY CC and assembly preview"
USB CC resistors,RCC1/RCC2,0402WGF5101TCE,0603 5.1 kOhm 1% resistor,0402,5.1 kOhm 1%,CC1/CC2 Rd to GND for sink/device,Basic,C25905 stock 8446095 observed 2026-06-12,Low-cost standard USB-C sink identification,"Wrong value or shared resistor breaks orientation behavior","Use two independent footprints close to receptacle; verify USB-C design review",https://www.usb.org/usb-charger-pd,"TODO: VERIFY against current USB Type-C requirements"
USB ESD,U4,TPD2EUSB30DRTR,USBLC6-2SC6,"DRT/SOT-3 class preferred; SOT-23-6L fallback",2-line low-capacitance ESD,USB D+/D- protection; exact capacitance/clamp per datasheet,Extended; preferred package metadata conflict,"Preferred C3040102 stock 4708; fallback C7519 stock 53546; observed 2026-06-12",Small low-capacitance preferred with easier fallback,"JLC records disagree on preferred package/manufacturer metadata","Reconcile TI package drawing to chosen LCSC library; place at connector",https://www.ti.com/lit/ds/symlink/tpd2eusb30.pdf,"Do not approve preferred footprint from marketplace text alone"
LiPo charger / power path,U5,BQ24074RGTR,MCP73871T-2CCI/ML,"VQFN-16 EP 3x3 mm preferred; QFN-20 EP 4x4 mm fallback",Single-cell 4.2 V charger with power path,"4.35-10.5 V input for BQ24074; up to 1.5 A capability but V1 setting must be lower",Extended,"Preferred C54313 stock 736; fallback C511310 stock 439; observed 2026-06-12",Supports use/programming while attached to USB,"Linear heat charge-current programming and battery NTC strategy","Verify exposed pad thermal vias ISET ILIM ITERM TS and reference circuit",https://www.ti.com/lit/ds/symlink/bq24074.pdf,"TODO: VERIFY safe charge current from exact cell datasheet"
Battery connector,J3,BM02B-SRSS-TB(LF)(SN),Polarized solder pads with strain relief,"JST SH 2-pin 1.0 mm top-entry",2 pin,1.0 A family rating with AWG 28,Extended,"C160388 stock 45; compatible listing C495537 stock 3144; observed 2026-06-12",Compact keyed battery disconnect,"Harness source polarity and cable bend can dominate stack","Verify header suffix mating housing contacts polarity and cable exit",https://www.jst-mfg.com/product/pdf/eng/eSH.pdf,"Battery connector style remains Decision Pending"
3.3 V regulator,U6,TPS63031DSKR,TPS63020DSJR,"VSON-10 EP 2.5x2.5 mm preferred; VSON-14 EP 3x4 mm fallback",3.3 V buck-boost,"1 A switch limit on preferred; usable output current requires calculation and test",Extended,"Preferred C15516 stock 2740; fallback C15483 stock 2473; observed 2026-06-12",Maintains rail over LiPo discharge range,"Power budget efficiency inductor height stability and thermal margin unresolved","Implement exact TI layout; verify exposed pad and selected inductor",https://www.ti.com/lit/ds/symlink/tps63031.pdf,"Regulator topology remains Decision Pending"
Backlight control,Q1,AO3400A,Panel-specific dedicated backlight driver,SOT-23 plus passives,Low-side PWM switch,Panel backlight voltage/current TODO: VERIFY,Basic candidate,"C20917 basic stock 1345927 observed 2026-06-12",Simple low-profile PWM path if panel LED string is compatible,"Direct 3.3 V drive may be electrically wrong; commodity MPN substitutions","Verify MOSFET manufacturer pinout gate pulldown and panel current circuit",https://www.aosmd.com/products/mosfets/low-voltage-mosfets-12v-30v/ao3400a,"Do not populate until display backlight drawing is reviewed"
RGB side LEDs,D1-D4,SK6805-EC15,Discrete side-view RGB plus resistors,"SMD-4P 1.5x1.5 mm side emitter",Addressable RGB,"Supply range current and 3.3 V data threshold TODO: VERIFY",Extended,C2890035 stock 161838 observed 2026-06-12,Compact side emission for bilateral light guides,"Weak manufacturer documentation; voltage and optical fit unresolved","Verify pad orientation emission direction data flow courtyard and decoupling",https://jlcpcb.com/parts,"RGB package remains Decision Pending; manufacturer datasheet TODO: VERIFY"
Tactile switches,SW1-SW3,SKRPACE010,Panasonic EVP-BB family exact suffix TBD,"SMD 4.2x3.2 mm",Momentary tactile switch,Dry contact to 3.3 V GPIO,Extended,C139797 stock 156252 observed 2026-06-12,Strong dated stock and documented low-profile family,"Actuator geometry force height and boot-strap GPIO conflicts","Verify exact suffix land pattern actuator axis and mechanical cap",https://tech.alpsalpine.com/e/products/category/switch/sub/01/series/skrp/,"Three rear buttons; debounce in firmware"
Piezo buzzer,BZ1,PKLCS1212E4001-R1,Drawing-verified passive SMD piezo,"Approximately 12.2x12.2x3.0 mm",Passive piezo sounder,AC/PWM drive within exact datasheet limits,Extended; package metadata incomplete,C113159 stock 4632 observed 2026-06-12,Known passive piezo family,"Height acoustics port and drive voltage unresolved","Verify manufacturer land pattern dimensions polarity and courtyard",https://www.murata.com/en-global/products/sound/sounder,"TODO: VERIFY exact datasheet and JLC assembly status"
Optional vibration motor,M1,DNP pads for exact 8-10 mm nominal 3 V coin motor,Omit motor and retain pads,"Off-board wire-lead motor",Nominal 3 V; exact MPN TBD,Stall/start current TODO: VERIFY,Manual assembly,Not an LCSC SMT item,Preserves optional haptic experiment,"Thickness inrush EMI lifetime and mechanical retention","Verify pad spacing polarity adhesive area wire exit and keepout",,"DNP by default; supplier datasheet TODO: VERIFY"
Vibration motor NMOS,Q2,AO3400A,Verified Si2302-class logic NMOS,SOT-23 plus passives,Low-side motor switch,Must handle selected motor stall current at 3.3 V gate,Basic candidate,C20917 basic stock 1345927 observed 2026-06-12,Common low-side topology with easy probing,"Manufacturer substitution RDS(on) and flyback path unresolved","Verify exact manufacturer pinout thermal copper gate network and diode",https://www.aosmd.com/products/mosfets/low-voltage-mosfets-12v-30v/ao3400a,"DNP with motor; keep switching loop away from antennas"
I2C pullups,R1/R2,0402WGF4701TCE,RC0402FR-074K7L or 0603 equivalent,0402 preferred,4.7 kOhm 1%,Pull up SDA/SCL to 3.3 V,Basic,"Preferred C25900 basic stock 9379077; fallback C105871 stock 3146959; observed 2026-06-12",Assembly-practical common value,"Final value depends on bus capacitance speed and duplicate pullups","Standard 0402 footprint; verify effective parallel value",https://www.yageo.com/en/ProductSearch/PartNumberSearch,"TODO: VERIFY rise time with selected NFC tag and test accessories"
SPI series resistors,R3-R6,RC0402FR-0722RL,33 Ohm or 0 Ohm 0603 / DNP,0402 preferred,22 Ohm initial placeholder,Signal damping only; not a protocol requirement,Extended,C114765 stock 978014 observed 2026-06-12,Allows display edge tuning without respin,"Wrong value or placement can degrade the bus","Place near ESP32 source; allow DNP/direct path; verify count",https://www.yageo.com/en/ProductSearch/PartNumberSearch,"TODO: VERIFY by trace review and oscilloscope measurement"
Test pads,TP1-TP16,Bare ENIG pogo pads,Low-profile SMT test points,PCB feature,Signals and rails per test plan,Size for probe and fixture current,PCB process feature,No LCSC line item,No component height and deterministic bring-up access,"Rear fixture area mask openings and USB probing impact","Verify pad diameter pitch finish datum and enclosure access",https://jlcpcb.com/help,"Include GND VBUS VBAT 3V3 EN BOOT UART USB I2C SPI and switched loads"
Mounting / mechanical,H1-H4,Resin bosses plus PCB NPTH clearance,Low-profile nylon M1.6 hardware or reviewed adhesive,"PCB NPTH and off-board non-metal hardware",Mechanical retention,Maintain antenna and battery clearance,Not SMT PCBA,Source after CAD freeze,Non-metal V1 retention without aluminum assumptions,"Boss tolerance screw volume and collision with stack","Verify hole diameter edge clearance resin tolerance and STEP interference",https://jlc3dp.com/help,"0.8 mm four-layer PCB preferred; 1.0 mm fallback; no PCB strap hole"
